review,score,language
"Das Spiel ist aufjedenfall empfehlenswert. Dieses 2,5D Spiel macht einfach unglaublich Spaß und die Dungeons sind cool.",1.0,GERMAN
"It's an amazing game, but it runs pretty badly. I never thought I would care about frame drops but this is not the Nintendo polish I'm used to expect.",0.8999999999999999,ENGLISH
This game is simply awesome!!!! The gameplay is super creative and you have thousands of ways to finish your adventure!!! Use your creativity and be happy playing for the first time with princess Zelda! It is not the most difficult game in the franchise but it worth every minute of of time!,1.0,ENGLISH
"A beautiful and creative experience. Made my inner child smile again. For me it's like a Zelda Pokémon/Lego, go and play it for understand Im saying. Frame rate have a little downs .. but the game it's almost perfect.  My perception Its a journey far far outside of timeline Zelda franchise.",1.0,ENGLISH
"Estou me divertindo muito, que jogo delicioso, gostoso, amei muito, sensação maravilhosa de jogar, eu estou viciado na gameplay, as mecânicas são um show!!!!! Obrigado Nintendo :)",1.0,PORTUGUESE
[SPOILER ALERT: This review contains spoilers.],0.4,ENGLISH
,0.8,Unknown
"I didn’t know a simple little game could be this fun and deep, Nintendo, you did it again!",1.0,ENGLISH
,1.0,Unknown
"El juego cumple en todos los apartados. Es muy bonito gráficamente, tiene bastantes toques originales qué lo hace muy especial. El único problema qué le veo por momentos es que tiene pequeños bajones de fps por momentos, pero después de eso todo esta genial. Es un gran juego",0.8999999999999999,SPANISH
"La mezcla perfecta entre los zeldas clásicos y los más modernos. Puedes explorar el mundo hasta cierto punto a tu aire, pero la historia principal es lo suficientemente lineal como para que haya una progresión que se había perdido en las ultimas entregas.",1.0,SPANISH
"Really nice game, exploring and doing quests/side quests is so much satisfying, i also like the fact that you can use a bed to rest everytime you want! The bosses are also cool, i wouldnt mind more games like this!",0.8999999999999999,ENGLISH
,0.8999999999999999,Unknown
És un joc casi perfecte si no hagués sigut per la organització dels ecos i per tant crec que mereix un 9....però per la cantitat de haters i gent amb arguments sense sentit que li han donat molt mala nota li donc un 10,1.0,CATALAN
,0.0,Unknown
"This game is a huge steaming pile of garbage. The greedy developers are charging $60 for a mobile game. This game copied and pasted so many assets from Link's Awakening 2019, it is the exact same game. First TOTK and now this? And you Zelda fans have the audacity to make fun of COD for being the same game every year, yet you have to wait at least half a decade to get the same game. The graphics are a joke. The physics are beyond horrible. The gameplay is boring and repetitive. No tree variety, you see the same tree copied and pasted everywhere. You can't open chests in real-time. The broken pieces of a pot or a flying tile magically fall under the ground, rather than landing on surface. Zelda's clothes don't get soaked nor does the water land on the surface, a basic detail PS3 games can get right. The UI is terrible. ● When I pay $60, I expect top-notch AAA quality. It's already bad enough that BOTW looks like an indie game, but the quality of this game is downgraded even further for the same price. Just look at the eyes for example, BOTW has the sclera, iris, and pupil whereas this trash only has the pupil, shaped like the ones you see on Steamboat Mickey Mouse. This was clearly a lazy attempt from the developers to avoid animating eyeball movements and blinking. Furthermore, the lazy developers used the top-down camera in a pathetic attempt to not have to design the fourth wall or roof in interiors. Speaking of which, there are no real-time interiors. It's the same trash as GTA San Andreas where you go inside a small building and you spawn in a giant ""interior"" that's clearly too big for it. Speaking of GTA SA, the characters' fingers are stuck together. It was pathetic in 2004 and I can't believe we have that same problem 20 years later. No voice acting. Dude, you can't be taking all these shortcuts and charge $60. I expect you developers to work hard for that price. ● One thing that frustrates me about video games is when developers prompt me to ""do it your way"" and they don't even allow me to do it my way. I ran into invisible walls or my abilities weren't working accordingly, all because I didn't do it the developer's way. I've noticed not a single ""AAA"" game has ever been able to achieve the open ended mission design since 2006. The closest AAA game (after 2006) I can think of that does ""open ended"" mission design right is GTA V, contrary to popular belief. Obviously I'm not talking about story mode, but the Online contact missions by Gerald, Simeon, Madrazo and others. In those missions, you get a few prompts and have complete freedom on how you want to do it, without ruining the logic of the mechanics. And if you can't make open-ended missions like that, then give me step by step instructions like GTA V story mode, because you're wasting my time. Many indie games absolutely nail the open ended level design, like Human Fall Flat. It's embarrassing when indie games do a better job at open-ended level design than ""AAA"" games. ● There is no multiplayer. So once you beat the story, there is literally not a reason to play this game again. Charging $60 for a game with no replay value is a cash grab. So all I get is a campaign around the 11-hour mark and that's it? I would've beaten it faster if I was allowed to do it my way. They should've at least added co-op for the campaign, so we could see how other players solve puzzles. Although that's not good enough for me, I prefer PvP or exclusive content for co-op. The developers heavily advertised the ability to play as Zelda, which is nothing more than a gimmick that gets old fast. How about they spend time actually improving the performance, instead of coming up with gimmicks. It's unacceptable that this indie quality game has the same price tag as something like RDR2 or TLOU2, even if I hate the latter moreso than this game. This is the equivalent of a McDonald's cheeseburger being priced the same as a truffle, it's pathetic. I don't recommend this game at all. ● P.S. Metacritic, I have the right to express my opinion. Was the censored word a problem? Laura Branigan did a song about glass and look up the most popular song of Johnny Hates Jazz. That was the censored word, a Rolling Stones song. Not a bad word.",0.0,ENGLISH
I only wish they would have made a better menu for echoe selection and an option to change language on the physical version. The menu to wich I am refering is still better than Totk by a very slight margin. Everything else was awsome and smooth. Frames and visuals were good and gameplay was simply fun.,0.8999999999999999,ENGLISH
,1.0,Unknown
"With all the talk that Astro Bot has this innovative gameplay, Nintendo simply said 'hey, hold my beer'.  This latest Zelda installment was announced a couple of months ago out of nowhere, and released a couple of days ago. It is shaping up to be one of the best Zelda installment in recent memory and that's ahigh praise after the BOTW duology. Its innovation is simple: let you play as Zelda, pure and simple. The copy ability is a brilliant way to introduce a new way of play alongside the usual Zelda tropes. The Switch may be on its last year and if this is one of its last hurrah then it's a great way to exit one of Nintendo's most prolific console era in recent memory.",0.8999999999999999,ENGLISH
,0.8999999999999999,Unknown
"Despite the Links Awakening Remake graphics this is a way more modern game with lots of inspirations from open world BotW and TotK Zelda! Perfect game for fans who started with Zelda on the Switch. Great graphics, huge map and amazing sandbox gameplay which is very rarely seen in a 2D game. Possibly goty. Nintendo still got it after over 40 years!",1.0,ENGLISH
This game is so fun and cute! The gameplay was unique and the dungeons were fun.,1.0,ENGLISH
,0.7000000000000001,Unknown
"Really wanted to like this one. I love BOTW and TOTK. But this is the worst 2D Zelda game by far. The Echo mechanic feels like something the devs thought about for a few hours and then shipped. It’s incredibly underbaked, puzzles are too easy, combat is laughably bad, and the UI is disastrous. The world is cool tho.",0.3,ENGLISH
"Como siempre, excelente calidad.                                          .",1.0,SPANISH
Gets boring very fast :( for a Nintendo game. UI is a big issue as well. The puzzles are very boring. Echoes mechanic is boring so is combat. I have to say it’s boring like a mobile game,0.4,ENGLISH
,1.0,Unknown
The best Zelda 2D game all time. The best Zelda all time. Amazing. Wonderful!,1.0,ENGLISH
"È uno Zelda al 100% nettamente superiore a Links awakening, a link between worlds, minish cap e tutti gli episodi per ds! cosa avranno visto i recensori non si capisce, il metascore dovrebbe essere almeno di 92 per un rapporto esatto con gli altri Zelda. Giocatolo,hamolti elementi da tripla A!",1.0,ITALIAN
"The best game so far this year, Nintendo once again uses actions to prove that they are still the best game company in the world",1.0,ENGLISH
"I would give this game a 10 if it weren't for the performance issues, despite that the experience is incredible. definitely one of the best games in the franchise from a top-down perspective. It's a pleasant mix between the creative freedom of TOTK and the classic Dungeons of other games. certainly a great addition to the console catalog and to the franchise.",0.8999999999999999,ENGLISH
"Poor performance. The stuttering is really annoying. Even Nintendo's own games don't run smoothly anymore. They don't realize that the hardware is outdated. Instead they bring out the same old Switch with a new design. It's unplayable. The Switch is dead. Deal with it. I would wait for the new console and hope that it can be played with better performance. The game has some good ideas, but it's boring. Zelda's object creation is imprecise. It often spawns to the left or right, no control in it. The chests contains useless stuff and the sword mode shows that the concept isn't fully developed yet. I would wait for the next Zelda game. I would rate it higher if the game ran smoothly. It's no fun playing with these performance issues.",0.3,ENGLISH
,1.0,Unknown
,1.0,Unknown
Absolutely beautiful and so creative! I had missed seeing a Zelda with this style but above all we can finally play as Zelda️,1.0,ENGLISH
Zelda echoes of wisdom es un juego que nos marca con una sonrisa y es parte de esos juegos que con el pasar de los años seguira siendo una maravilla como toda su saga en general. Viva Zelda para siempre.,1.0,SPANISH
"L’esperienza del passato mescolata con nuove abilità in stile moderno. Questo gioco rappresenta quello che tanto aspettavo. Molto lo chiamano Zelda minore, evidentemente non hanno compreso il potenziale o non hanno idea di cosa stanno parlando, non possedendo il gioco. Good job! This game is amazing!",1.0,ITALIAN
"Dieses Spiel vereint das alte 2D Zelda Rezept mit Eigenschaften von Botw und Totk. Die neuen Fähigkeiten, welche Zelda erhält, dienen gut für neue Arten von Rätseln und Möglichkeiten dieses Spiel zu meistern. Ein wundervoller neuer Ableger der 2D Zeldas.",1.0,GERMAN
,0.8,Unknown
"""Zelda: Echoes of the Wisdom"" offers an enchanting return to Hyrule, blending classic gameplay with innovative mechanics. The stunning art style captivates, while the intricate puzzles and expansive world invite exploration. The narrative delves into the Zelda herself for the first time, enhancing the experience. Combat feels fluid, with new abilities adding depth. Overall, it’s a compelling addition to the franchise, appealing to both veterans and newcomers alike.",1.0,ENGLISH
"One of the best 2D games of Zelda of all the time. The gameplay is very different from the other games of the series, but still have the elements of a Zelda Game. Awesome dungeons and smooth mechanics. A gem for the final year of the Switch.",1.0,ENGLISH
"Awesome game, hyrule as we love it and zelda as the new Protagonist is a good idea.",1.0,ENGLISH
,0.0,Unknown
"The details in this game are amazing, the story is great , and the mix between the abilities from BOTW and TOTK and LA all in one game, 10/10. truly amazing",1.0,ENGLISH
Great evolution of top down Zelda..mixing great dungeons and new mechanics..,0.7000000000000001,ENGLISH
,0.7000000000000001,Unknown
,1.0,Unknown
"I think The Legend of Zelda: Echoes of Wisdom is a great game, a great innovation within the limitations of 2d, and it proves that whether you're making 2d games or competitive 3d games, you should discover how to play the game.",1.0,ENGLISH
"Fantastic Link game. From really coherent and engaging story, interesting exploration, classic dungeon, well planned puzzles and boss fights. The game is nearly perfect with 2 only drawbacks being the cumbersome echos menu and frame dips (although the second improved through patch). Great pleasure for all the Legend of Link fans!",0.8999999999999999,ENGLISH
"I created a metacritic account for this review. It's one of the best games I've played in a long time. I enjoyed basically everything about it. The only flaw, that why I give it a 9 is pretty annoying style of choosing echoes and that kinda forces you to use the same echoes rather than testing some of them. The jumps of fps from 30 to 60 I didn't experience once because I overclocked my nintendo. The gameplay, the art style. Everything I enjoyed.",0.8999999999999999,ENGLISH
The Legend of Zelda: Echoes of Wisdom is the very good Nintendo Switch game.,1.0,ENGLISH
"just like Breath of the Wild and Tears of the Kingdom, this Zelda has zero challenge to it. For me, Zelda has always been defined by its challenging puzzles. Sadly, I think this spells the end of my love affair with this franchise. It breaks my heart.",0.3,ENGLISH
Amazing Game for first time Zelda players! Very easy controls and a beautiful look!,0.8,ENGLISH
,1.0,Unknown
"Unfortunately the latest Zelda game does nothing for me. I gave it a fair shot but there is very little difficulty in anything, be it the puzzles or moment-to-moment gameplay, which doesn’t have to be an issue if the game is still engaging but I struggled to find any reason to continue. I like the concept and love that Zelda finally got her own game but frankly it bores me, and not because it’s a slower paced strategy game but because everything I encountered could be figured out in a few moments, and the things that couldn’t were often tedious. If you like this game, great, I wish I could but I just don’t care for it.",0.5,ENGLISH
,1.0,Unknown
ระบบเกมคลาสสิกที่ออกแบบมาได้อย่างลงตัวในยุคใหม่ ออกแบบกราฟฟิก Art-styleให้เหมาะสมกับศักยภาพเครื่องได้ดีมากพัซเซิลทุกที่ไม่น่าเบื่อมีอะไรให้น่าค้นหาตลอดการเดินทาง NPC มีชีวิตชีวา+คงความคลาสสิกแบบเกมสมัยก่อนได้ดี,1.0,THAI
"The Legend of Zelda: Echoes of Wisdom is super creative and really switches things up in the Zelda universe. It’s got some cool new puzzle mechanics, especially with time manipulation, which keeps it interesting. The world is fun to explore, and the story pulls you in. Definitely worth checking out if you’re a fan or just want something fresh in an adventure game.",0.8999999999999999,ENGLISH
,1.0,Unknown
,1.0,Unknown
"With great gameplay, great soundtrack, and a classic simple Zelda story the game is near perfect. What holds it back from being a 10 is frame drops in the overworld.",0.8999999999999999,ENGLISH
"The largest open world 2d zelda game to date. It feels like playing open world ALTTP, but as a warlock instead of warrior. More challenging than others have been saying, but definitely on the easier side. Feels a bit off-beat, sort of like ages and seasons or minish cap.",1.0,ENGLISH
"The best Zelda game so far, Amazing dungeons, amazing bosses, amazing music, Great story, this game is a must play",1.0,ENGLISH
"Este juego es una maravilla. Visualmente es precioso, la historia es interesante y la mecánica de replicar es muy divertida y ofrece muchas posibilidades.",1.0,SPANISH
Half way in the game and I’m really enjoying it. My favorite Zelda game of cos is BOTW but this one has so much fun and quite relax to play with. The puzzles are bit easier by using echos to solve compare to links awakening but over all the tasks and side tasks are better than LA,1.0,ENGLISH
Once again - perfect top down Zelda game with a ton of unique and amazing ideas. Bravo Nintendo,1.0,ENGLISH
I played Echos of Wisdom for about 10 hours and I had high expectations and everything I expected was exceeded. and I already count it among the top 5 Zelda games.,1.0,ENGLISH
"I'm like 6-7 hours in. I really like it. The thing that's holding me back from LOVING it is the framerate. It's just pretty abysmal. I've been using handheld mode and it runs a bit better. I feel like this is going to end up being one of those ""love it or hate it"" games, outside of the framerate I really adore this title. It's still The Legend of Zelda meanwhile adding features that allow it to feel like a fresh experience. It's definitely not perfect but if I had a more precise way to review it on here I would give it a 87/100, but we'll just round up to 9/10.",0.8999999999999999,ENGLISH
"Well… just Nintendo being Nintendo once again. I actually was quite sceptical of the combat system, but playing it made me realise how polished and great this game can be, even If you’re not a fan of Zelda games.",1.0,ENGLISH
,0.0,Unknown
"What an absolute gem. This is easily the best top down Zelda game since A Link to the Past (and I may like it a little more than that). Not only are all of the dungeons solid and funto traverse, but the new open world is the best in any 2D Zelda PERIOD. Exploration has never been more rewarding in these top down Zeldas. All the bosses use the mechanics in a unique way and are super fun to fight despite not having the typical arsenal we are used to. It's not perfect, but no game is.",1.0,ENGLISH
"This game is fun totally worth the 60$. But, the hardware cant handle the game properly witch will give a bad experience in my opinion",0.8999999999999999,ENGLISH
the legend it self in a georgeous new adventure and its big love it player creativity has no boundaries in this one.,1.0,ENGLISH
,1.0,Unknown
,1.0,Unknown
the legend it self in a georgeous new adventure and its big love it player creativity has no boundaries in this one.,1.0,ENGLISH
"Great game! First time ever a real ""zelda"" game. It's not only about playing as zelda but the echo system that let make duplicates of anything even enemy to solve traditional maze and explore the beatiful world",1.0,ENGLISH
"Roza la obra maestra. Su gameplay es pura creatividad, su mundo es divertido y vivo, la banda sonora es innovadora y remezcla temas clasicos. Incluso la historia te acaba sorprendiendo. Cómo único punto negativo destacaría la linealidad de algunas mazmorras. Imprescindible",0.8999999999999999,SPANISH
"Great game, and more importantly Zelda is playable character. Expected it for months, and it’s beyond my expectation.",1.0,ENGLISH
