review,score
"Ara: History Untold is challenging the heavy hitters in a very competitive genre, but stands out thanks to its unique approach to 4X grand strategy and innovative mechanics. It's a gorgeous and polished turn-based strategy game that hooks you with ""one more turn"" and keeps you hooked with its flexible and varied strategy gameplay.",0.8
"It’s in these complications that Ara: History Untold shines brightest. It has seemingly learned core lessons from its forebears in the 4X genre, using them as stepping stones to advance its core gameplay loop, and provide new layers of depth where needed. Its more holistic approach to building nations, and its move away from war as singular motivator, makes it a very well-rounded, clever strategy game – and one that rewards your time and energy.",0.8
"Ara: History Untold feels really fresh, immersive, and innovative with its deep city-builder influences being the standout feature. It doesn’t nail the landing in all aspects, but provides the most exciting foundation for further expansion we’ve had in this genre for a long time.",0.8
"Ara: History Untold makes meaningful contributions to the well-worn grand strategy genre at every turn, even if the absurdities of its mix-and-match approach to history can be hard to swallow.",0.8
"Ara: History Untold is a vast strategy game that gives you plenty to do, but success consistently rewards you with new ways to play.",0.8
"With its challenging prestige elimination race proposition, Ara: History Untold is a relevant addition to the 4X genre, boasting some really nice detailed models, a very satisfying crafting optimization system, and a rather dense non-linear tech tree. Too bad the diplomacy is so frustrating and the concept shows some limitations after about fifteen hours of play.",0.8
"Ara: History Untold is another distinctive take on the historical 4X strategy genre, putting a real emphasis on furthering your nation, managing supply chains and resources, and shifting the focus away from warring mentality it's so easy to sink into. There's room to grow, but this is a strong contender.",0.8
"Despite a few issues, I still think Ara: History Untold is some of the most fun I’ve had with a 4X historical nations game that wasn’t Civilization. Oxide Studios clearly knew the assignment and they aced on a number of fronts. It’s a little disappointing that for their experience, they weren’t able to avoid common issues like mid-to-late grind, but if you want a game that will offer plenty of variety in playstyles and an interesting and engaging crafting mechanic, Ara: History Untold is quite an extensive option for any fan of 4X strategy.",0.8
An enticing strategy game that caters mostly to those who love to develop a culture and bringing it throught the eras. Deep and complex just at the right degree.,0.8
"Ara History Untold could be a great competitor to other strategy games, such as Civilization. It relies on an efficient turn-based system, which helps you plan your next steps, and a progressive storyline that makes it a pleasure to see everything evolve into the most modern world.",0.8
"Interesting mix of 4X strategy and construction game, which just manages to get an 80 rating with fresh ideas and depth.",0.8
"Ara: History Untold boldly launches into the 4X landscape, bringing with it some intriguing innovations. Although the game introduces the prestige system and non-hex maps, it remains faithful to the basic structure of many other congeners. In this sense, the production by Oxide Games is more of a refined restyling than a Copernican revolution. Its new mechanics undoubtedly offer fresh ideas and compelling challenges and the attention to the smallest details further elevates the value of Ara. However, the complexity in resource management and a war component that does not hold up to comparison with the rest of the experience are less brilliant aspects of the package. In any case, we are faced with a valuable production, capable of intriguing fans of the reference genre.",0.8
Quotation forthcoming.,0.8
"Although the detailed management of endgame item production can be a little time-consuming for my taste, the performance could be better, and diplomacy could well be implemented in a more elegant way, the game offers complex systems that are rewarding to get into. I hope that we continue to see innovations in this niche from the developers behind Ara: History Untold.",0.8
"There’s a lot to like about Ara: History Untold, even with the rough edges that appear every so often. Barring some performance issues, I’d say anyone even a little curious about the genre should give the game a shot and try it for themselves (especially if you have Xbox Game Pass). As for those of you with hundreds of hours in 4X games? Well, Civilization VII is still months away and Ara is a worthwhile competitor in the space and so I highly recommend playing at least a few games during this wait. Who knows, maybe you’ll find yourself with a new favourite in the genre…",0.78
"ARA: History Untold has all the ingredients to become a benchmark in the genre. Its innovative mechanics, such as simultaneous turns, the non-linear technology tree and the prestige system, give it a fresh air that distinguishes it from other strategy games.",0.77
"Ara: History Untold is a highly ambitious 4X game that looks to branch out and add even more depth to an already detailed genre. In many ways, it succeeds, bringing in a map and city-building system that far surpasses others in the genre and successfully interlinking practically every area. However, with some successes come issues, with the added depth in the supply chain making it a bit of a micromanagement nightmare; it tries to alleviate some of these issues with a user-friendly UI, but it could be a sticking point for some. The AI also seems to go on the fritz and break the game's rules.",0.75
"Ara: History Untold tweaks the Civilization formula, but doesn’t change it all that much. While it’s a well polished experience, I’m not sure it does enough to push the genre forward, settling instead to do what it does well. That said, good strategy games can be hard to find, and Ara is a good one in a crowded field.",0.75
"I’m glad there’s another historical 4X on the block - and for those of you who want something a bit meatier than Civ, I think this can fit the bill. ARA: History Untold is bold, innovative and exciting - but thoroughly held back by frustrating problems and an infuriating user experience. ",0.75
"In the end, it's a successful Civilization clone that excels in some ways and falls a little short in others. And the game is also graphically pleasing. It is definitely worth trying.",0.75
"Ara tries to reinvent the 4X wheel with a really exciting gameplay system. However, it lacks dynamism, a more interesting diplomatic and trade system and a bit of nastiness that makes us feel the political and social weight of our choices. If they raise it well, it can become an unforgettable game.",0.75
"Ara: History Untold dares a lot, but many things still don't work out as planned. It still falls short of its role model, Civilization.",0.74
"Ara: History Untold is a worthy representative of the strategy genre, offering innovative mechanics for those who particularly enjoy the building aspect of empire building games focused on diplomacy and warfare. Although many of its elements must be polished and refined to stand the test of time, the foundations are solid, and the future looks promising.",0.74
"Despite the inclusion of innovations like Prestige, which offers a more sophisticated appraisal of your leadership, Ara: History Untold doesn’t outshine Civilization. Instead, it feels like a lateral deviation, where some components are restructured but others flirt with tedium by the third and final act.",0.73
"Ara: History Untold is a decent foray into the historical 4X, with enough borrowed and slightly tweaked elements to make it worth a look for fans of the genre. Its original ideas become too much of a slog however, along with a scattering of UI issues and performance hiccups that need addressing. ",0.7
"A beautifully presented and accessible game in a sometimes obscure genre, Ara: History Untold is a pretty picture book rather than a deep tome. ",0.7
Ara: History Untold brings city-building to Civilization with strategic success.,0.7
"Ara: History Untold is beautiful to look at, offers complexity, and nails its concept with flying colours, but it lacks the customisation options its competitors offer, and is technically substandard. It has great potential to be a truly brilliant addition to the genre if the developers can fix the major technical issues, balance problems, and can update the title properly, turning the game into something that also survives the test of time.",0.7
"Ara: History Untold doesn't really do anything new, but it takes good ideas from so many games and combines them in a meaningful way that fans of Civ, Millennia or Humankind will definitely have fun with. However, some of the many systems – such as diplomacy or combat – aren't really polished. The game certainly has the potential to patch itself up, but at release it's not enough.",0.7
"Ara: History Untold was supposed to be the game that, after nearly eight years, could make us forget Civilization VI. However, it seems that once again, we'll have to wait for the seventh installment to lose ourselves, one turn at a time. The title, developed by Oxide Games, looks very promising. It has a visually striking graphical style and some interesting flashes of brilliance. However, it’s a strategy game whose core focus is hard to grasp, and it falls victim to overwhelming micromanagement that permeates every turn. This has drawn attention away from areas that needed more care, such as diplomacy, technology, and those essential late-game variations. ",0.65
"I'm certain that many fans of Civilization will quickly abandon playing ARA: History Untold. No Civ demands such careful consideration of the smallest details and micro-dependencies from the player. You need to ask yourself: do you want to conquer lands or manage the production of cement and ploughs? If the latter sounds interesting, you're right where you need to be.",0.65
"While Ara: History Untold is a visually captivating historical 4X with an interesting underlying economy, it gets bogged down well before the midway point, mainly because it doesn’t provide enough tools and UI support to manage all of the things it expects you to manage. Your choice of leader, religion, and government almost always simply add uninteresting passive modifiers, which means most playthroughs will feel roughly the same other than the layout of the map itself. I had a pretty decent time with my march through the ages, especially in the first of its three acts. But it did require me to eventually give up on trying to play optimally, passing turns without doing anything until I emerged victorious. A lot of these systems are exciting and clever in their design – they're just not that enjoyable to interact with past a certain point.",0.6
"Ara delves deeply into a single mechanic. Warfare, diplomacy, religion, and research are stripped down to the bare essentials, leaving the majority of your time focused on balancing the production of a massive array of materials and their interconnected, complex production chains. While this is initially engaging, it quickly becomes tedious in the later stages, where balancing production feels more like managing a budget before an accounting deadline.",0.6
"A good alternative to Civilization that could be even better with a little more optimization. Beautifully detailed world, interesting features and flexibility.",0.6
"I keep bringing up competitors like Civilization and Humankind not just for obvious comparisons or to be cruel, but because Ara: History Untold sought to position itself as big mix up for historical strategy. And I want that! I love this genre, but only having a few big games flying that banner has led to it becoming a bit stale, and more competitors and new ideas could shake things up. But unfortunately, Ara doesn’t do much to really drive things forward. Most of the new additions have been tried before and the crafting system, the one actually unique part, fails to add much more than extra busywork and spreadsheeting. It’s still totally functional as a historical 4X, easily alluring me back into the one-more-turn mindset, but it doesn’t succeed in bringing much that is really new to the table.",0.6
"While it does offer some strategy thrills, all of this really holds it back from being another genre kingpin. With DLC and future updates, it may have a chance to iron out its weaker aspects. But, outside a few unique twists, it feels like it is missing something to make it truly worth the price of admission.",0.6
"Ara is an interesting and enjoyable spin on the Civ concept but becomes unwieldy long before it's over. Figuring out how to build a thriving empire will be an enjoyable challenge to people looking for a certain kind of production chain game, but I don't see its malnourished AI and ballooning micromanagement keeping them around once they do.",-0.01
